Lektion;Hebräisch;Deutsch;Wortart;;
11;בית חולים;Krankenhaus;Nomen;;
11;בקבוק;Flasche;Nomen;;
11;דואר;Post / Briefpost;Nomen;;
11;דואר אוויר;Luftpost;Nomen;;
11;חבילה;Paket;Nomen;;
11;יום הולדת;Geburtstag;Nomen;;
11;כלב / כלבה;Hund / Hündin;Nomen;;
11;מברק;Telegramm;Nomen;;
11;מזג אוויר;Wetter;Nomen;;
11;מעטפה;Umschlag / Briefumschlag;Nomen;;
11;משרד;Büro;Nomen;;
11;פקיד / פקידה;Bürokraft / Sachbearbeiter/in;Nomen;;
11;שיחה;Gespräch;Nomen;;
11;שיעורי בית;Hausaufgaben;Nomen;;
11;תיבת דואר;Briefkasten;Nomen;;
11;תפוח עץ;Apfel;Nomen;;
11;תשובה;Antwort;Nomen;;
11;גז;Gas;Nomen;;
11;אלקטרוני;elektronisch;Adjektiv;;
11;טלכרט;Telefonkarte;Nomen;;
11;פלאפון סלולרי;Mobiltelefon;Nomen;;
11;פַקְס;Fax;Nomen;;
11;יקר;teuer / lieb;Adjektiv;;
11;עצוב;traurig;Adjektiv;;
11;פשוט;einfach / schlicht;Adjektiv;;
11;קצר;kurz;Adjektiv;;
11;שמח;glücklich / fröhlich;Adjektiv;;
11;תן לי!;gib mir! (männl.);Andere;;
11;תְּנִי לי!;gib mir! (weibl.);Andere;;
  יחידה / Einheit 12;;;;;
12;מבקש;bitten / verlangen;Verb;;
12;ממשיך;weitermachen / fortfahren;Verb;;
12;מתחתן;heiraten;Verb;;
12;מִתְכַּתֵּב;korrespondieren / Briefe schreiben;Verb;;
12;מתלבש;sich anziehen / sich kleiden;Verb;;
12;מתפלל;beten;Verb;;
12;מתרגש;aufgeregt sein / sich aufregen;Verb;;
12;מתרחץ;sich waschen / sich baden;Verb;;
12;רוחץ;waschen;Verb;;
12;גיל;Alter;Nomen;;
12;גשם;Regen;Nomen;;
12;חג;Feiertag / Fest;Nomen;;
12;חתונה;Hochzeit;Nomen;;
12;חתן;Bräutigam;Nomen;;
12;טלית;Tallit (Gebetsschal);Nomen;;
12;יד;Hand;Nomen;;
12;ישיבה;Jeschiva (Talmud-Hochschule);Nomen;;
12;כַּלָּה;Braut;Nomen;;
12;מודעה;Anzeige / Bekanntmachung;Nomen;;
12;מזוזה;Mesusa (Türpfosten-Rolle);Nomen;;
12;מִקְוֶה;Mikwe (rituelles Bad);Nomen;;
12;פעם;Mal / einmal;Nomen;;
12;תפילה;Gebet;Nomen;;
12;פסיכולוג / פסיכולוגית;Psychologe / Psychologin;Nomen;;
12;אִינְטֶלִיגֶנְטִי;intelligent;Adjektiv;;
12;דתי;religiös;Adjektiv;;
12;צעיר;jung;Adjektiv;;
12;רב;viel / zahlreich;Adjektiv;;
12;שחור;schwarz;Adjektiv;;
12;כל כך;so / so sehr;Andere;;
12;לפני;vor / bevor;Andere;;
12;נורא;furchtbar / sehr (Slang: wahnsinnig);Andere;;
  יחידה / Einheit 13;;;;;
13;זז;sich bewegen;Verb;;
13;טָס;fliegen;Verb;;
13;מבקר;besuchen;Verb;;
13;נָח;sich ausruhen;Verb;;
13;צם;fasten;Verb;;
13;שומר;bewachen / einhalten;Verb;;
13;אמהרית;Amharisch (Sprache);Nomen;;
13;גֶּעְז;Ge'ez (Sprache);Nomen;;
13;דג;Fisch;Nomen;;
13;דלת;Tür;Nomen;;
13;חור;Loch;Nomen;;
13;חלום;Traum;Nomen;;
13;יהדות;Judentum;Nomen;;
13;כביש;Straße / Fahrbahn;Nomen;;
13;כפר;Dorf;Nomen;;
13;מַחֲנֶה;Lager / Camp;Nomen;;
13;מטוס;Flugzeug;Nomen;;
13;מלך / מלכה;König / Königin;Nomen;;
13;מסורת;Tradition;Nomen;;
13;מקל;Stock / Stab;Nomen;;
13;מרכז;Zentrum / Mitte;Nomen;;
13;סימן;Zeichen / Symbol;Nomen;;
13;שכונה;Stadtviertel / Nachbarschaft;Nomen;;
13;ג׳ונגל;Dschungel;Nomen;;
13;מרתון;Marathon;Nomen;;
13;ספורט;Sport;Nomen;;
13;פארק;Park;Nomen;;
13;קונגרס;Kongress;Nomen;;
13;טעים;lecker / köstlich;Adjektiv;;
13;קרוב;nah / in der Nähe;Adjektiv;;
13;שֵׁמִי;semitisch;Adjektiv;;
13;כיף;Spaß / Vergnügen (Slang);Andere;;
13;אתמול;gestern;Andere;;
13;דרישת שלום;Grüße ausrichten;Andere;;
13;יום כיפור;Jom Kippur (Versöhnungstag);Nomen;;
13;יותר מִ...;mehr als...;Andere;;
13;מאוחר;spät;Andere;;
13;מאז;seitdem / seit;Andere;;
13;מאתיים;zweihundert;Zahl;;
13;שוב;wieder / nochmal;Andere;;
13;ראשון;erste/r/s;Zahl;;
13;שני;zweite/r/s;Zahl;;
13;שלישי;dritte/r/s;Zahl;;
13;רביעי;vierte/r/s;Zahl;;
13;חמישי;fünfte/r/s;Zahl;;
13;שישי;sechste/r/s;Zahl;;
13;שביעי;siebte/r/s;Zahl;;
13;שמיני;achte/r/s;Zahl;;
13;תשיעי;neunte/r/s;Zahl;;
13;עשירי;zehnte/r/s;Zahl;;
  יחידה / Einheit 14;;;;;
14;מברך;segnen / gratulieren;Verb;;
14;מְקַדֵּשׁ;segnen / heiligen;Verb;;
14;נועל;Schuhe anziehen;Verb;;
14;נופל;fallen;Verb;;
14;נותן;geben;Verb;;
14;עומד;stehen;Verb;;
14;קורא;rufen / lesen;Verb;;
14;אות;Buchstabe;Nomen;;
14;בן;Sohn / Junge;Nomen;;
14;בת;Tochter / Mädchen;Nomen;;
14;ברכה;Segensspruch / Glückwunsch;Nomen;;
14;דבר;Ding / Sache;Nomen;;
14;דבש;Honig;Nomen;;
14;זוג;Paar / Ehepaar;Nomen;;
14;חופש;Freiheit / Urlaub;Nomen;;
14;טבעת;Ring;Nomen;;
14;טקס;Zeremonie / Feier;Nomen;;
14;כְּתֻבָּה;Ketuba (Heiratsvertrag);Nomen;;
14;מזל;Glück / Sternzeichen;Nomen;;
14;מכונית;Auto;Nomen;;
14;מנהג;Brauch / Sitte;Nomen;;
14;משחק;Spiel;Nomen;;
14;נעל;Schuh;Nomen;;
14;חינה;Henna-Party;Nomen;;
14;קוֹקְטֵיְל;Cocktail;Nomen;;
14;שמפניה;Champagner;Nomen;;
14;תאוריה;Theorie;Nomen;;
14;אדום;rot;Adjektiv;;
14;מצחיק;lustig / komisch;Adjektiv;;
14;אי״ה;so Gott will (Abk.);Andere;;
14;בדרך כלל;in der Regel / normalerweise;Andere;;
14;בע״ה;mit Gottes Hilfe (Abk.);Andere;;
14;הולך לְ...;erfolgreich sein mit...;Andere;;
14;"ל""ג בָּעֹמֶר";Lag BaOmer (jüd. Feiertag);Andere;;
  יחידה / Einheit 15;;;;;
15;לוקח;nehmen;Verb;;
15;מצייר;zeichnen / malen;Verb;;
15;עוֹנֶה;antworten;Verb;;
15;פוחד;Angst haben / sich fürchten;Verb;;
15;אוזן;Ohr;Nomen;;
15;אמת;Wahrheit;Nomen;;
15;אף;Nase;Nomen;;
15;בטן;Bauch / Magen;Nomen;;
15;גב;Rücken;Nomen;;
15;גוף;Körper;Nomen;;
15;זאב;Wolf;Nomen;;
15;יומן;Tagebuch / Logbuch;Nomen;;
15;לב;Herz;Nomen;;
15;סמל;Symbol;Nomen;;
15;עיגול;Kreis;Nomen;;
15;עין;Auge;Nomen;;
15;פֶּה;Mund;Nomen;;
15;צוואר;Hals / Nacken;Nomen;;
15;צרה;Not / Ärger;Nomen;;
15;קו;Linie / Strich;Nomen;;
15;ראש;Kopf;Nomen;;
15;רגל;Bein / Fuß;Nomen;;
15;שן;Zahn;Nomen;;
15;שיער;Haar / Haare;Nomen;;
15;שרשרת;Kette / Halskette;Nomen;;
15;ארוך;lang;Adjektiv;;
15;בערך;ungefähr / circa;Andere;;
15;בתוך;in / innerhalb;Andere;;
15;שים לב;aufpassen / Acht geben;Andere;;
15;שנתיים;zwei Jahre;Andere;;
  יחידה / Einheit 16;;;;;
16;בוחר;wählen / auswählen;Verb;;
16;מתאים;passen / geeignet sein;Verb;;
16;אביב;Frühling;Nomen;;
16;אדמה;Erde / Boden / Land;Nomen;;
16;אש;Feuer;Nomen;;
16;חצב;Meerzwiebel (Blume);Nomen;;
16;נר;Kerze;Nomen;;
16;סוף;Ende;Nomen;;
16;סתיו;Herbst;Nomen;;
16;עונה;Jahreszeit;Nomen;;
16;צבע;Farbe;Nomen;;
16;רַווָּק / רווקה;Single (männl. / weibl.);Nomen;;
16;רופא / רופאה;Arzt / Ärztin;Nomen;;
16;חוּם;braun;Adjektiv;;
16;ירוק;grün;Adjektiv;;
16;לבן;weiß;Adjektiv;;
16;סגול;lila / violett;Adjektiv;;
16;צהוב;gelb;Adjektiv;;
16;גבוה;groß / hoch;Adjektiv;;
16;נמוך;klein / niedrig;Adjektiv;;
16;קריר;kühl / frisch;Adjektiv;;
16;רזה;schlank / dünn;Adjektiv;;
16;שָׁמֵן;dick / fett;Adjektiv;;
16;אפילו;sogar / selbst;Andere;;
16;השנה;dieses Jahr;Andere;;
16;זה לזה;einander / gegenseitig;Andere;;
16;כמעט;fast / beinahe;Andere;;
16;חתיך / חתיכה;gutaussehend (Slang);Andere;;
  יחידה / Einheit 17;;;;;
17;חוקר;forschen / untersuchen;Verb;;
17;כועס;wütend sein / sich ärgern;Verb;;
17;מוצא;finden / entdecken;Verb;;
17;מְסַדֵּר;ordnen / arrangieren;Verb;;
17;נולד;geboren werden;Verb;;
17;עוזר;helfen;Verb;;
17;אוֹצָר;Schatz;Nomen;;
17;אור;Licht;Nomen;;
17;בית המקדש;der Tempel;Nomen;;
17;זהב;Gold;Nomen;;
17;חוף;Strand / Küste;Nomen;;
17;חושך;Dunkelheit / Finsternis;Nomen;;
17;מגילה;Schriftrolle;Nomen;;
17;מערה;Höhle;Nomen;;
17;נוצרי / נוצרייה;Christ / Christin;Nomen;;
17;נְחוֹשֶׁת;Kupfer;Nomen;;
17;פגישה;Treffen / Begegnung;Nomen;;
17;אינפורמציה;Information;Nomen;;
17;היסטוריון / היסטוריונית;Historiker/in;Nomen;;
17;פילולוג / פילולוגית;Philologe / Philologin;Nomen;;
17;פנטזיה;Fantasie;Nomen;;
17;קומונה;Kommune / Wohngemeinschaft;Nomen;;
17;תאולוג / תאולוגית;Theologe / Theologin;Nomen;;
17;עייף;müde;Adjektiv;;
17;רע;böse / schlecht;Adjektiv;;
17;ברגל;zu Fuß;Andere;;
17;לַסְּפִירָה;nach Christus (Zeitrechnung);Andere;;
  יחידה / Einheit 18;;;;;
18;גומר;beenden / fertig sein;Verb;;
18;חי;leben;Verb;;
18;ישן;schlafen;Verb;;
18;מְנַקֶּה;putzen / reinigen;Verb;;
18;מְרַכֵל;klatschen / tratschen;Verb;;
18;צוחק;lachen;Verb;;
18;אוֹרֵחַ / אורחת;Gast;Nomen;;
18;אח / אחות;Bruder / Schwester;Nomen;;
18;בַּמַּאי / במאית;Regisseur/in;Nomen;;
18;בשר;Fleisch;Nomen;;
18;חולצה;Hemd / T-Shirt / Bluse;Nomen;;
18;ידיד / ידידה;Freund / Freundin;Nomen;;
18;כלי;Gerät / Instrument / Gefäß;Nomen;;
18;לימודים;Studium / Lernen;Nomen;;
18;מלפפון;Gurke;Nomen;;
18;מרק;Suppe;Nomen;;
18;נכד / נכדה;Enkel / Enkelin;Nomen;;
18;סבא / סבתא;Großvater / Großmutter;Nomen;;
18;צלחת;Teller;Nomen;;
18;תפוח אדמה;Kartoffel;Nomen;;
18;אֵירוֹבִּיקָה;Aerobic;Nomen;;
18;יוגורט;Joghurt;Nomen;;
18;ספורטאי / ספורטאית;Sportler/in;Nomen;;
18;בָּטוּחַ;sicher / überzeugt;Adjektiv;;
18;מפורסם;berühmt;Adjektiv;;
18;נשוי / נשואה;verheiratet;Adjektiv;;
18;רגיל;gewöhnlich / normal;Adjektiv;;
18;כאן;hier;Andere;;
18;פּוּרִים;Purim (jüd. Feiertag);Nomen;;
18;שעתיים;zwei Stunden;Andere;;
  יחידה / Einheit 19;;;;;
19;בודק;prüfen / überprüfen;Verb;;
19;יוצא;hinausgehen / ausgehen;Verb;;
19;פותח;öffnen / aufmachen;Verb;;
19;אריה;Löwe;Nomen;;
19;בָּצָל;Zwiebel;Nomen;;
19;גזר;Karotte / Möhre;Nomen;;
19;גן חיות;Zoo;Nomen;;
19;חוקר / חוקרת;Forscher/in;Nomen;;
19;חיה;Tier;Nomen;;
19;סבלנות;Geduld;Nomen;;
19;פלפל;Paprika / Pfeffer;Nomen;;
19;צמח;Pflanze;Nomen;;
19;קבוצה;Gruppe;Nomen;;
19;קוף;Affe;Nomen;;
19;קמח;Mehl;Nomen;;
19;קֶשֶׁר;Verbindung / Beziehung;Nomen;;
19;שָׁכֵן / שכנה;Nachbar / Nachbarin;Nomen;;
19;שמן;Öl;Nomen;;
19;שַׁעַר;Tor / Eingang;Nomen;;
19;תוכנית;Plan / Programm;Nomen;;
19;אקווריום;Aquarium;Nomen;;
19;בּוֹטָנִי;botanisch;Adjektiv;;
19;גיטרה;Gitarre;Nomen;;
19;גִ'ירָפָה;Giraffe;Nomen;;
19;היפופוטם;Nilpferd;Nomen;;
19;זברה;Zebra;Nomen;;
19;טרופי;tropisch;Adjektiv;;
19;שימפנזה;Schimpanse;Nomen;;
19;אחר כך;danach / später;Andere;;
19;אין בעד מה;bitte / gern geschehen;Andere;;
19;המון;eine Menge / sehr viel;Andere;;
19;עוד מעט;gleich / in einer Weile;Andere;;
19;צריך;brauchen / müssen;Andere;;
19;קודם;zuerst / vorher;Andere;;
  יחידה / Einheit 20;;;;;
20;זוכר;sich erinnern;Verb;;
20;להגיד;sagen / erzählen;Verb;;
20;סוגר;schließen / zumachen;Verb;;
20;שוכח;vergessen;Verb;;
20;חייל / חיילת;Soldat / Soldatin;Nomen;;
20;כוח;Kraft / Stärke;Nomen;;
20;מדינה;Staat / Land;Nomen;;
20;ממשלה;Regierung;Nomen;;
20;נשיא / נשיאה;Präsident/in;Nomen;;
20;פרסומת;Werbung;Nomen;;
20;קוֹנֶה;Käufer;Nomen;;
20;ראש ממשלה;Premierminister/in;Nomen;;
20;ראש עיר;Bürgermeister/in;Nomen;;
20;שביתה;Streik;Nomen;;
20;אַנְטִישֵׁמִיּוּת;Antisemitismus;Nomen;;
20;גרפיקאי / גרפיקאית;Grafiker/in;Nomen;;
20;טון;Tonne;Nomen;;
20;סבון;Seife;Nomen;;
20;סוציולוג / סוציולוגית;Soziologe / Soziologin;Nomen;;
20;פוליטיקאי / פוליטיקאית;Politiker/in;Nomen;;
20;שַׁמְפּוּ;Shampoo;Nomen;;
20;רָעֵב;hungrig;Adjektiv;;
20;שֶׁ...;dass... (Konjunktion);Andere;;
20;השבוע;diese Woche;Andere;;
20;פעם;einmal / früher;Andere;;
  יחידה / Einheit 21;;;;;
21;להכיר;kennenlernen / erkennen;Verb;;
21;מגיע;ankommen / verdienen;Verb;;
21;פונה;sich wenden / fragen;Verb;;
21;ביצה;Ei;Nomen;;
21;חסה;Kopfsalat / Salat;Nomen;;
21;טעות;Fehler / Irrtum;Nomen;;
21;מדע;Wissenschaft;Nomen;;
21;מנורה;Lampe / Menora;Nomen;;
21;נביא / נביאה;Prophet/in;Nomen;;
21;נהג / נהגת;Fahrer/in;Nomen;;
21;עז;Ziege;Nomen;;
21;פסוק;Bibelvers;Nomen;;
21;רעיון;Idee / Gedanke;Nomen;;
21;תחנה;Haltestelle / Bahnhof;Nomen;;
21;תפוח;Apfel;Nomen;;
21;תרנגול / תרנגולת;Hahn / Henne;Nomen;;
21;אורגנו;Oregano;Nomen;;
21;בזיליקום;Basilikum;Nomen;;
21;דולר;Dollar;Nomen;;
21;ויזה;Visum;Nomen;;
21;פטרוזיליה;Petersilie;Nomen;;
21;חכם;klug / weise;Adjektiv;;
21;מרכזי;zentral;Adjektiv;;
21;גן עדן;Paradies / Garten Eden;Andere;;
21;בני ישראל;das Volk Israel / Kinder Israels;Andere;;
21;זהירות!;Vorsicht! / Achtung!;Andere;;
21;יכול;können / in der Lage sein;Andere;;
21;כלום;nichts;Andere;;
21;על לא דבר;bitte / gern geschehen;Andere;;
21;עץ הדעת;der Baum der Erkenntnis;Andere;;
21;מרווה;Salbei (Pflanze);Andere;;
21;שיר השירים;Das Hohelied (Bibel);Andere;;
21;תאנה;Feige;Nomen;;
21;תמר;Dattel (Frucht / Baum);Nomen;;
  יחידה / Einheit 22;;;;;
22;מוריד;herunterbringen / abnehmen;Verb;;
22;בגד ים;Badeanzug / Badehose;Nomen;;
22;חָאקִי;Khaki;Nomen;;
22;חופשה;Urlaub / Ferien;Nomen;;
22;חצאית;Rock (Kleidung);Nomen;;
22;חשמל;Strom / Elektrizität;Nomen;;
22;מושב;Siedlung / Sitz;Nomen;;
22;מכנסיים;Hose;Nomen;;
22;מעיל;Mantel / Jacke;Nomen;;
22;פתרון;Lösung;Nomen;;
22;פתק;Zettel / Notiz;Nomen;;
22;שמלה;Kleid;Nomen;;
22;בוטיק;Boutique;Nomen;;
22;מודל;Model / Modell;Nomen;;
22;נוֹסְטַלְגְּיָה;Nostalgie;Nomen;;
22;סוודר;Pullover / Sweatshirt;Nomen;;
22;קָרִיקָטוּרָה;Karikatur;Nomen;;
22;חזק;stark / kräftig;Adjektiv;;
22;טיפש;dumm / blöd;Adjektiv;;
22;טרי;frisch;Adjektiv;;
22;מאושר;glücklich / gesegnet;Adjektiv;;
22;נוח;bequem / komfortabel;Adjektiv;;
22;תנ״כי;biblisch;Adjektiv;;
22;אופטימי;optimistisch;Adjektiv;;
22;פסימי;pessimistisch;Adjektiv;;
22;לכן;deshalb / daher;Andere;;
22;אף אחד;niemand / keiner;Andere;;
22;חבל!;schade! / wie schade!;Andere;;
  יחידה / Einheit 23;;;;;
23;חולה;krank sein;Verb;;
23;חולם;träumen;Verb;;
23;מת;sterben;Verb;;
23;שוקל;wiegen / abwägen;Verb;;
23;אבן;Stein;Nomen;;
23;אגדה;Legende / Märchen;Nomen;;
23;אומן / אומנית;Künstler/in;Nomen;;
23;בניין;Gebäude / Bauwerk;Nomen;;
23;התחלה;Anfang / Beginn;Nomen;;
23;חומה;Mauer / Stadtmauer;Nomen;;
23;מחלה;Krankheit;Nomen;;
23;מצב;Lage / Zustand / Situation;Nomen;;
23;סופר / סופרת;Schriftsteller/in;Nomen;;
23;פיל ;Elefant ;Nomen;;
23;תמונה;Bild / Gemälde / Foto;Nomen;;
23;תְּנַאי;Bedingung;Nomen;;
23;נקי;sauber / rein;Adjektiv;;
23;עשיר;reich;Adjektiv;;
23;קדוש;heilig;Adjektiv;;
23;רחוק;weit / entfernt;Adjektiv;;
23;העירה;in die Stadt;Andere;;
23;מִזְּמַן;vor langer Zeit;Andere;;
23;מחוץ לְ...;außerhalb von...;Andere;;
23;מסביב לְ...;rund um / herum;Andere;;
23;עוד פעם;noch einmal / wieder;Andere;;
  יחידה / Einheit 24;;;;;
24;כואב;wehtun / schmerzen;Verb;;
24;כובש;erobern / einnehmen;Verb;;
24;מאמין;glauben;Verb;;
24;עוזב;verlassen / weggehen;Verb;;
24;שוכב;liegen;Verb;;
24;גְּבֶרֶת;Frau / Gnädige Frau;Nomen;;
24;דת;Religion;Nomen;;
24;הלכה;jüdisches Religionsgesetz;Nomen;;
24;חום;Hitze / Fieber;Nomen;;
24;כאב;Schmerz;Nomen;;
24;כתובת;Adresse;Nomen;;
24;מזוודה;Koffer;Nomen;;
24;משטרה;Polizei;Nomen;;
24;משורר / משוררת;Dichter/in;Nomen;;
24;נפש;Seele / Geist;Nomen;;
24;קהילה;Gemeinschaft / Gemeinde;Nomen;;
24;רפואה;Medizin / Heilkunde;Nomen;;
24;שוטר / שוטרת;Polizist/in;Nomen;;
24;שמחה;Freude / Freudenfest;Nomen;;
24;תאריך;Datum;Nomen;;
24;תעודה;Ausweis / Zeugnis / Dokument;Nomen;;
24;תקופה;Periode / Epoche / Ära;Nomen;;
24;אַי-קְיוּ;IQ;Nomen;;
24;אקמול;Acamol (Schmerzmittel);Nomen;;
24;מוסלמי / מוסלמית;Muslim / Muslimin;Nomen;;
24;פיזיקה;Physik;Nomen;;
24;חופשי;frei;Adjektiv;;
24;בין;zwischen;Andere;;
24;בן בית;Stammgast / Vertrauter;Andere;;
24;בעוד;in... (in einer Stunde etc.);Andere;;
24;הערב;heute Abend;Andere;;
24;כל הכבוד!;Bravo! / Alle Achtung!;Andere;;
24;מעט;wenig / ein bisschen;Andere;;
24;קרוב לְ...;nahe bei... / in der Nähe von;Andere;;
  יחידה / Einheit 25;;;;;
25;מטלפן;telefonieren / anrufen;Verb;;
25;מלמד;unterrichten / lehren;Verb;;
25;שובר;brechen / zerbrechen;Verb;;
25;בֶּן דּוֹד / בַּת דּוֹד ;Cousin / Cousine;Nomen;;
25;בריכה;Schwimmbad / Becken;Nomen;;
25;ויכוח;Streit / Diskussion;Nomen;;
25;מקדש;Tempel;Nomen;;
25;סלע;Fels / Stein;Nomen;;
25;עבר;Vergangenheit;Nomen;;
25;עמוד;Säule / Stange;Nomen;;
25;שֵׁבֶט;Stamm;Nomen;;
25;תּוֹשָׁב / תושבת;Einwohner/in / Bewohner/in;Nomen;;
25;תרופה;Medikament / Arznei;Nomen;;
25;אֵיְדְּס;AIDS;Nomen;;
25;גאולוג / גאולוגית;Geologe / Geologin;Nomen;;
25;פּוֹלְיוֹ;Polio;Nomen;;
25;זקן;alt / betagt;Adjektiv;;
25;שונה;anders / verschieden;Adjektiv;;
25;בדיוק;genau / exakt;Andere;;
25;הכי;am meisten / am... -sten (Superlativ);Andere;;
25;לוחות הברית;die Gesetzestafeln / Bundeslade;Andere;;
25;שטויות;Unsinn / Quatsch;Andere;;
  יחידה / Einheit 26;;;;;
26;גדל;wachsen / aufwachsen;Verb;;
26;מחמם;aufwärmen;Verb;;
26;מעשן;rauchen;Verb;;
26;נכנס;eintreten / hineingehen;Verb;;
26;נפגש;sich treffen;Verb;;
26;נשאר;bleiben;Verb;;
26;עוצר;anhalten / stoppen;Verb;;
26;שוחה;schwimmen;Verb;;
26;אתר;Stätte / Website;Nomen;;
26;חוק;Gesetz;Nomen;;
26;טיילת;Promenade / Uferweg;Nomen;;
26;ימין;rechts / die rechte Seite;Nomen;;
26;כנסייה;Kirche;Nomen;;
26;מטבע;Münze;Nomen;;
26;מסגד;Moschee;Nomen;;
26;נצרות;Christentum;Nomen;;
26;צד;Seite;Nomen;;
26;שמאל;links / die linke Seite;Nomen;;
26;תיירות;Tourismus;Nomen;;
26;איסלאם;Islam;Nomen;;
26;דמקה;Damespiel / Checkers;Nomen;;
26;טבעי;natürlich;Adjektiv;;
26;עני;arm / bedürftig;Adjektiv;;
26;מול;gegenüber / vor;Andere;;
26;נודניק / נודניקית;Nervensäge / Quälgeist;Andere;;
26;אדוני;mein Herr ;Andere;;
26;אחורה;rückwärts / nach hinten;Andere;;
26;אם;wenn / falls;Andere;;
26;אסור;verboten;Andere;;
26;אפשר;möglich / man kann;Andere;;
26;הים התיכון;das Mittelmeer;Nomen;;
26;המזרח התיכון;der Nahe Osten;Nomen;;
26;העולם הבא;das Jenseits;Nomen;;
26;למעלה;nach oben / oben;Andere;;
26;מותר;erlaubt / darf;Andere;;
26;קדימה;vorwärts / nach vorne;Andere;;
  יחידה / Einheit 27;;;;;
27;מדליק;anzünden / einschalten;Verb;;
27;מחליט;entscheiden;Verb;;
27;מסכים;zustimmen / einverstanden sein;Verb;;
27;מקשיב;zuhören;Verb;;
27;אחוז;Prozent;Nomen;;
27;אמונה;Glaube / Überzeugung;Nomen;;
27;חברה;Gesellschaft / Firma;Nomen;;
27;חלק;Teil;Nomen;;
27;יחס;Verhältnis / Einstellung;Nomen;;
27;מֶחְקָר;Forschung / Studie;Nomen;;
27;מָכוֹן;Institut;Nomen;;
27;סביבון;Dreidel (Kreisel);Nomen;;
27;נס;Wunder;Nomen;;
27;קידוש;Kiddusch (Segensspruch);Nomen;;
27;שַׁפַּעַת;Grippe;Nomen;;
27;בוס / בוסית;Chef/in / Boss;Nomen;;
27;דמוקרטי;demokratisch;Adjektiv;;
27;ויטמין;Vitamin;Nomen;;
27;סוֹצְיָאלִיסְטִי;sozialistisch;Adjektiv;;
27;חילוני;säkular / weltlich;Adjektiv;;
27;במשך;während / im Laufe von;Andere;;
27;חנוכה;Chanukka;Nomen;;
27;כדאי;es lohnt sich / es empfiehlt sich;Andere;;
27;מוקדם;früh / frühzeitig;Andere;;
27;פחות מִ...;weniger als...;Andere;;
27;סדר פסח;Pessach-Seder (Abendessen);Nomen;;
27;סוף-סוף;endlich / schließlich;Andere;;
27;רוב;Mehrheit / die meisten;Andere;;
27;חֶבְרֶה;Jungs / die Gang (Slang);Andere;;
  יחידה / Einheit 28;;;;;
28;הורג;töten / umbringen;Verb;;
28;מבטיח;versprechen;Verb;;
28;מנסה;versuchen;Verb;;
28;מסתכל;schauen / betrachten;Verb;;
28;משפיע;beeinflussen;Verb;;
28;משתמש;benutzen / verwenden;Verb;;
28;מתאהב;sich verlieben;Verb;;
28;מתנדב;freiwillig helfen / sich engagieren;Verb;;
28;תופס;fangen / festhalten;Verb;;
28;אוויר;Luft;Nomen;;
28;אֵם;Mutter;Nomen;;
28;בית ספר תיכון;Gymnasium / Oberschule;Nomen;;
28;מחזה;Theaterstück;Nomen;;
28;מחמאה;Kompliment;Nomen;;
28;שגיאה;Fehler;Nomen;;
28;תפקיד;Rolle / Aufgabe;Nomen;;
28;תרבות;Kultur;Nomen;;
28;אמיתי;echt / wahrhaftig;Adjektiv;;
28;זָר;fremd ;Adjektiv;;
28;בלב שלם;von ganzem Herzen;Andere;;
28;מיד;sofort / gleich;Andere;;
28;נאצי;Nazi;Andere;;
